,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,method,mu_P,mu_N,mu_M,lam_MB,lam_MD,lam_diff,n_dilutions
0,0,0,0,0,0,diff,1.35,1.5,1.5,0.001,0.001,0.0254706602081682,30.0
1,1,1,1,1,0,diff,1.35,1.5,1.5,0.001,1e-06,0.022127336173018687,38.0
2,2,2,2,2,0,diff,1.35,1.5,1.5,0.001,1e-09,0.022127336173018687,38.0
3,3,3,3,3,0,diff,1.35,1.5,1.5,0.001,1e-12,0.022127336173018687,38.0
4,4,4,4,4,0,diff,1.35,1.5,1.5,1e-06,0.001,0.02217566252215224,40.0
5,5,5,5,5,0,diff,1.35,1.5,1.5,1e-06,1e-06,0.021820355672161718,113.0
6,6,6,6,6,0,diff,1.35,1.5,1.5,1e-06,1e-09,0.02184755577507411,120.0
7,7,7,7,7,0,diff,1.35,1.5,1.5,1e-06,1e-12,0.02184755577507411,120.0
8,8,8,8,8,0,diff,1.35,1.5,1.5,1e-09,0.001,0.02217566252215224,40.0
9,9,9,9,9,0,diff,1.35,1.5,1.5,1e-09,1e-06,0.02174660089028419,123.0
10,10,10,10,10,0,diff,1.35,1.5,1.5,1e-09,1e-09,0.02177494859220515,195.0
11,11,11,11,11,0,diff,1.35,1.5,1.5,1e-09,1e-12,0.021774948592200586,202.0
12,12,12,12,12,0,diff,1.35,1.5,1.5,1e-12,0.001,0.02217566252215224,40.0
13,13,13,13,13,0,diff,1.35,1.5,1.5,1e-12,1e-06,0.02174660089028419,123.0
14,14,14,14,14,0,diff,1.35,1.5,1.5,1e-12,1e-09,0.021733912680138228,205.0
15,15,15,15,15,0,diff,1.35,1.5,1.5,1e-12,1e-12,0.021774948592157475,277.0
16,16,16,16,16,0,diff,0.75,1.5,1.5,0.001,0.001,0.07304078477994176,11.0
17,17,17,17,17,0,diff,0.75,1.5,1.5,0.001,1e-06,0.05454963107780245,13.0
18,18,18,18,18,0,diff,0.75,1.5,1.5,0.001,1e-09,0.05454963107780245,13.0
19,19,19,19,19,0,diff,0.75,1.5,1.5,0.001,1e-12,0.05454963107780245,13.0
20,20,20,20,20,0,diff,0.75,1.5,1.5,1e-06,0.001,0.05453480820686533,14.0
21,21,21,21,21,0,diff,0.75,1.5,1.5,1e-06,1e-06,0.04035117245808008,44.0
22,22,22,22,22,0,diff,0.75,1.5,1.5,1e-06,1e-09,0.04293164756584618,48.0
23,23,23,23,23,0,diff,0.75,1.5,1.5,1e-06,1e-12,0.04293164756584618,48.0
24,24,24,24,24,0,diff,0.75,1.5,1.5,1e-09,0.001,0.05453480820686533,14.0
25,25,25,25,25,0,diff,0.75,1.5,1.5,1e-09,1e-06,0.04033401320616712,48.0
26,26,26,26,26,0,diff,0.75,1.5,1.5,1e-09,1e-09,0.040111500722079335,83.0
27,27,27,27,27,0,diff,0.75,1.5,1.5,1e-09,1e-12,0.040238002454309175,87.0
28,28,28,28,28,0,diff,0.75,1.5,1.5,1e-12,0.001,0.05453480820686533,14.0
29,29,29,29,29,0,diff,0.75,1.5,1.5,1e-12,1e-06,0.04033401320616712,48.0
30,30,30,30,30,0,diff,0.75,1.5,1.5,1e-12,1e-09,0.03973309757608387,88.0
31,31,31,31,31,0,diff,0.75,1.5,1.5,1e-12,1e-12,0.03959851515996345,124.0
32,32,32,32,32,0,diff,0.14999999999999994,1.5,1.5,0.001,0.001,0.07929440176009495,8.0
33,33,33,33,33,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-06,0.1000000000016705,9.0
34,34,34,34,34,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-09,0.08157515093545073,10.0
35,35,35,35,35,0,diff,0.14999999999999994,1.5,1.5,0.001,1e-12,0.08157515093545073,10.0
36,36,36,36,36,0,diff,0.14999999999999994,1.5,1.5,1e-06,0.001,0.07533590126762907,10.0
37,37,37,37,37,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-06,0.06536512830716831,30.0
38,38,38,38,38,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-09,0.05997474317528944,33.0
39,39,39,39,39,0,diff,0.14999999999999994,1.5,1.5,1e-06,1e-12,0.05997474317528944,33.0
40,40,40,40,40,0,diff,0.14999999999999994,1.5,1.5,1e-09,0.001,0.07533590126762907,10.0
41,41,41,41,41,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-06,0.059974743175128825,33.0
42,42,42,42,42,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-09,0.05630220798141525,57.0
43,43,43,43,43,0,diff,0.14999999999999994,1.5,1.5,1e-09,1e-12,0.05725985738213268,60.0
44,44,44,44,44,0,diff,0.14999999999999994,1.5,1.5,1e-12,0.001,0.07533590126762907,10.0
45,45,45,45,45,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-06,0.059974743175128825,33.0
46,46,46,46,46,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-09,0.05590668392077728,60.0
47,47,47,47,47,0,diff,0.14999999999999994,1.5,1.5,1e-12,1e-12,0.05625936839130082,85.0
