,Unnamed: 0,Unnamed: 0.1,method,mu_P,mu_N,lam_MB,production
0,0,0,naive,1.35,1.5,0.001,4644369766.949257
1,1,0,naive,1.35,1.5,1e-06,11017118461.253223
2,2,0,naive,1.35,1.5,1e-09,17379081778.029778
3,3,0,naive,1.35,1.5,1e-12,23734430772.15599
4,4,0,naive,0.75,1.5,0.001,603196730.7838384
5,5,0,naive,0.75,1.5,1e-06,1551765848.294439
6,6,0,naive,0.75,1.5,1e-09,2499381320.350479
7,7,0,naive,0.75,1.5,1e-12,3454643428.248618
8,8,0,naive,0.14999999999999994,1.5,0.001,20619330.746017024
9,9,0,naive,0.14999999999999994,1.5,1e-06,34101120.74010935
10,10,0,naive,0.14999999999999994,1.5,1e-09,35892037.0106574
11,11,0,naive,0.14999999999999994,1.5,1e-12,37577367.00166372
